DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1992,19126029,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1993,19231389,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1994,19328299,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1995,19417999,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1996,19500458,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1997,19579778,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1998,19664565,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1999,19744257,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2000,19826339,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2001,19923892,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2002,20115524,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2003,20542467,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2004,20924577,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2005,21335287,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2006,21719318,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2007,22118976,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2008,22591483,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2009,22880534,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2010,22982272,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2011,23049480,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2012,23099012,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2013,23013226,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2014,22874710,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2015,22822721,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2016,22806445,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2017,22831107,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2018,22889600,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2019,23016783,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2020,23210668,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2021,23248611,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2022,23288797,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2023,23565593,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,2024,23826871,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1975,35569375,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1976,35946425,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1977,36329199,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1978,36694077,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1979,37035719,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1980,37346940,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1981,37635389,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1982,37881873,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1983,38090151,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1984,38252899,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1985,38407829,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1986,38531195,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1987,38638052,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1988,38731578,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1989,38802300,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1990,38853227,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1991,38881416,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1992,39051336,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1993,39264034,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1994,39458489,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1995,39639726,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1996,39808374,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1997,39971329,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1998,40143449,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,1999,40303568,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2000,40470182,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2001,40665545,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2002,41035278,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2003,41827838,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2004,42547451,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2005,43296338,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2006,44009971,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2007,44784666,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2008,45668939,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2009,46239273,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2010,46486619,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2011,46667174,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2012,46818219,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2013,46712650,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2014,46495744,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2015,46425722,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2016,46418884,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2017,46497393,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2018,46645070,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2019,46918951,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2020,47318050,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2021,47400798,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2022,47486843,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2023,48085361,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,T,ES,2024,48619695,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1975,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1976,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1977,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1978,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1979,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1980,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1981,0,,
