DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,F,FR,2022,404620,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,F,FR,2023,410428,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,F,FR,2024,419837,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,M,FR,2020,429015,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,M,FR,2021,425188,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,M,FR,2022,431894,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,M,FR,2023,436828,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,M,FR,2024,448917,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,F,FR,2020,405716,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,F,FR,2021,400497,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,F,FR,2022,394696,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,F,FR,2023,400138,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,F,FR,2024,403660,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,M,FR,2020,432581,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,M,FR,2021,424336,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,M,FR,2022,420666,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,M,FR,2023,428805,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y18,M,FR,2024,432181,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,F,FR,2020,408005,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,F,FR,2021,398030,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,F,FR,2022,394173,,
